Date,BPR:1,"BPR:1,1,1","BPR:10,10,3",BPR:300,FGOR,FOPR,WBHP:INJ,WBHP:PROD,WGIR:INJ,WGIR:PROD,WGIT:INJ,WGIT:PROD,WGOR:PROD,WGPR:INJ,WGPR:PROD,WGPT:INJ,WGPT:PROD,WOIR:INJ,WOIR:PROD,WOIT:INJ,WOIT:PROD,WOPR:INJ,WOPR:PROD,WOPT:INJ,WOPT:PROD,WWIR:INJ,WWIR:PROD,WWIT:INJ,WWIT:PROD,WWPR:INJ,WWPR:PROD,WWPT:INJ,WWPT:PROD
2017-01-31,6791.25634765625,6791.25634765625,5235.2158203125,5235.2158203125,1.2712677717208862,20000.0,7045.97998046875,3495.9560546875,100000.0,0.0,76100000.0,0.0,1.2712677717208862,-0.0,25425.35546875,-0.0,19326976.0,0.0,0.0,0.0,0.0,-0.0,20000.0,-0.0,15220000.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0086027747020125389
2017-02-28,6835.46728515625,6835.46728515625,5289.40625,5289.40625,1.2710564136505127,20000.0,7089.74267578125,3544.7744140625,100000.0,0.0,78900000.0,0.0,1.2710564136505127,-0.0,25421.12890625,-0.0,20038768.0,0.0,0.0,0.0,0.0,-0.0,20000.0,-0.0,15780000.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0086027747020125389
2017-03-31,6885.8505859375,6885.8505859375,5350.79443359375,5350.79443359375,1.2709161043167114,20000.0,7139.6943359375,3600.093505859375,100000.0,0.0,82000000.0,0.0,1.2709161043167114,-0.0,25418.322265625,-0.0,20826736.0,0.0,0.0,0.0,0.0,-0.0,20000.0,-0.0,16400000.0,0.0,0.0,0.0,0.0,-0.0,3.0529065887404912e-16,-0.0,0.0086027747020125389
2017-04-30,6934.80908203125,6934.80908203125,5409.33837890625,5409.33837890625,1.270882248878479,20000.0,7188.265625,3652.865966796875,100000.0,0.0,85000000.0,0.0,1.270882248878479,-0.0,25417.646484375,-0.0,21589266.0,0.0,0.0,0.0,0.0,-0.0,20000.0,-0.0,17000000.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0086027747020125389
2017-05-31,6988.3251953125,6988.3251953125,5476.1845703125,5476.1845703125,1.2709957361221313,20000.0,7241.4580078125,3713.15869140625,100000.0,0.0,88100000.0,0.0,1.2709957361221313,-0.0,25419.9140625,-0.0,22377284.0,0.0,0.0,0.0,0.0,-0.0,20000.0,-0.0,17620000.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0086027747020125389
2017-06-30,7031.47900390625,7031.47900390625,5539.10400390625,5539.10400390625,1.2713159322738647,20000.0,7284.15185546875,3769.979248046875,100000.0,0.0,91100000.0,0.0,1.2713159322738647,-0.0,25426.3203125,-0.0,23140074.0,0.0,0.0,0.0,0.0,-0.0,20000.0,-0.0,18220000.0,0.0,0.0,0.0,0.0,-0.0,4.3245190359707459e-16,-0.0,0.0086027747020125389
2017-07-31,7085.22998046875,7085.22998046875,5611.79443359375,5611.79443359375,1.2720252275466919,20000.0,7337.6328125,3835.7509765625,100000.0,0.0,94200000.0,0.0,1.2720252275466919,-0.0,25440.50390625,-0.0,23928730.0,0.0,0.0,0.0,0.0,-0.0,20000.0,-0.0,18840000.0,0.0,0.0,0.0,0.0,-0.0,1.1483631394708285e-14,-0.0,0.0086027747020125389
2017-08-31,7117.39697265625,7117.39697265625,5676.662109375,5676.662109375,1.2733819484710693,20000.0,7369.13623046875,3894.783203125,100000.0,0.0,97300000.0,0.0,1.2733819484710693,-0.0,25467.638671875,-0.0,24718226.0,0.0,0.0,0.0,0.0,-0.0,20000.0,-0.0,19460000.0,0.0,0.0,0.0,0.0,-0.0,1.7256310855078005e-14,-0.0,0.0086027747020125389
2017-09-30,7163.13916015625,7163.13916015625,5740.1796875,5740.1796875,1.2756936550140381,20000.0,7414.57958984375,3953.06298828125,100000.0,0.0,100300000.0,0.0,1.2756936550140381,-0.0,25513.873046875,-0.0,25483642.0,0.0,0.0,0.0,0.0,-0.0,20000.0,-0.0,20060000.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0086027747020125389
2017-10-31,7207.96923828125,7207.96923828125,5804.22998046875,5804.22998046875,1.2799316644668579,20000.0,7459.068359375,4012.799072265625,100000.0,0.0,103400000.0,0.0,1.2799316644668579,-0.0,25598.6328125,-0.0,26277200.0,0.0,0.0,0.0,0.0,-0.0,20000.0,-0.0,20680000.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0086027747020125389
2017-11-30,7250.34033203125,7250.34033203125,5873.5927734375,5873.5927734375,1.2871544361114502,20000.0,7501.1083984375,4078.8173828125,100000.0,0.0,106400000.0,0.0,1.2871544361114502,-0.0,25743.087890625,-0.0,27049492.0,0.0,0.0,0.0,0.0,-0.0,20000.0,-0.0,21280000.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0086027747020125389
2017-12-31,7293.4296875,7293.4296875,5952.08544921875,5952.08544921875,1.3012017011642456,20000.0,7543.86279296875,4156.5068359375,100000.0,0.0,109500000.0,0.0,1.3012017011642456,-0.0,26024.033203125,-0.0,27856238.0,0.0,0.0,0.0,0.0,-0.0,20000.0,-0.0,21900000.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0086027747020125389
2018-01-31,7337.7333984375,7337.7333984375,6052.10302734375,6052.10302734375,1.3271777629852295,20000.0,7587.87451171875,4259.4189453125,100000.0,0.0,112600000.0,0.0,1.3271777629852295,-0.0,26543.5546875,-0.0,28679088.0,0.0,0.0,0.0,0.0,-0.0,20000.0,-0.0,22520000.0,0.0,0.0,0.0,0.0,-0.0,3.4061420811680801e-14,-0.0,0.0086027747020125389
2018-02-28,7379.07568359375,7379.07568359375,6120.68603515625,6120.68603515625,1.3643734455108643,20000.0,7628.9892578125,4339.5576171875,100000.0,0.0,115400000.0,0.0,1.3643734455108643,-0.0,27287.46875,-0.0,29443138.0,0.0,0.0,0.0,0.0,-0.0,20000.0,-0.0,23080000.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0086027747020125389
2018-03-31,7423.05029296875,7423.05029296875,6161.65087890625,6161.65087890625,1.4107609987258911,20000.0,7672.68408203125,4399.09765625,100000.0,0.0,118500000.0,0.0,1.4107609987258911,-0.0,28215.220703125,-0.0,30317810.0,0.0,0.0,0.0,0.0,-0.0,20000.0,-0.0,23700000.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0086027747020125389
2018-04-30,7465.16748046875,7465.16748046875,6210.88037109375,6210.88037109375,1.499549388885498,20000.0,7714.533203125,4485.3037109375,100000.0,0.0,121500000.0,0.0,1.499549388885498,-0.0,29990.98828125,-0.0,31217540.0,0.0,0.0,0.0,0.0,-0.0,20000.0,-0.0,24300000.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0086027747020125389
2018-05-31,7507.4873046875,7507.4873046875,6245.2421875,6245.2421875,1.6488856077194214,20000.0,7756.56494140625,4582.6640625,100000.0,0.0,124600000.0,0.0,1.6488856077194214,-0.0,32977.7109375,-0.0,32239850.0,0.0,0.0,0.0,0.0,-0.0,20000.0,-0.0,24920000.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0086027747020125389
2018-06-30,7523.30712890625,7523.30712890625,6230.6357421875,6230.6357421875,2.0153696537017822,20000.0,7771.63623046875,4713.85595703125,100000.0,0.0,127600000.0,0.0,2.0153696537017822,-0.0,40307.39453125,-0.0,33449072.0,0.0,0.0,0.0,0.0,-0.0,20000.0,-0.0,25520000.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0086027747020125389
2018-07-31,7545.19677734375,7545.19677734375,6081.83935546875,6081.83935546875,2.9041638374328613,20000.0,7792.96044921875,4236.83837890625,100000.0,0.0,130700000.0,0.0,2.9041638374328613,-0.0,58083.27734375,-0.0,35249652.0,0.0,0.0,0.0,0.0,-0.0,20000.0,-0.0,26140000.0,0.0,0.0,0.0,0.0,-0.0,3.8688457505944743e-16,-0.0,0.0086027747020125389
2018-08-31,7501.3125,7501.3125,5788.2314453125,5788.2314453125,4.560579776763916,20000.0,7747.43017578125,3295.88427734375,100000.0,0.0,133800000.0,0.0,4.560579776763916,-0.0,91211.59375,-0.0,38077212.0,0.0,0.0,0.0,0.0,-0.0,20000.0,-0.0,26760000.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0086027747020125389
2018-09-30,7458.1005859375,7458.1005859375,5579.78466796875,5579.78466796875,5.4733309745788574,20000.0,7703.25732421875,2772.373779296875,100000.0,0.0,136800000.0,0.0,5.4733309745788574,-0.0,109466.6171875,-0.0,41361212.0,0.0,0.0,0.0,0.0,-0.0,20000.0,-0.0,27360000.0,0.0,0.0,0.0,0.0,-0.0,9.0887062144991843e-14,-0.0,0.0086027747020125389
2018-10-31,7385.67529296875,7385.67529296875,5435.0439453125,5435.0439453125,5.9836053848266602,20000.0,7629.56201171875,2443.0830078125,100000.0,0.0,139900000.0,0.0,5.9836053848266602,-0.0,119672.109375,-0.0,45071048.0,0.0,0.0,0.0,0.0,-0.0,20000.0,-0.0,27980000.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0086027747020125389
2018-11-30,7301.1162109375,7301.1162109375,5307.0888671875,5307.0888671875,6.5043368339538574,20000.0,7543.67041015625,2130.080810546875,100000.0,0.0,142900000.0,0.0,6.5043368339538574,-0.0,130086.734375,-0.0,48973648.0,0.0,0.0,0.0,0.0,-0.0,20000.0,-0.0,28580000.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0086027747020125389
2018-12-31,7202.19775390625,7202.19775390625,5164.7578125,5164.7578125,7.0401678085327148,20000.0,7443.32470703125,1793.589111328125,100000.0,0.0,146000000.0,0.0,7.0401678085327148,-0.0,140803.359375,-0.0,53338552.0,0.0,0.0,0.0,0.0,-0.0,20000.0,-0.0,29200000.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0086027747020125389
2019-01-31,7091.39501953125,7091.39501953125,5015.70458984375,5015.70458984375,7.5164647102355957,20000.0,7331.05712890625,1465.0445556640625,100000.0,0.0,149100000.0,0.0,7.5164647102355957,-0.0,150329.296875,-0.0,57998760.0,0.0,0.0,0.0,0.0,-0.0,20000.0,-0.0,29820000.0,0.0,0.0,0.0,0.0,-0.0,7.3797499889976213e-15,-0.0,0.0086027747020125389
2019-02-28,6985.09716796875,6985.09716796875,4883.900390625,4883.900390625,7.8924260139465332,20000.0,7223.45361328125,1174.1285400390625,100000.0,0.0,151900000.0,0.0,7.8924260139465332,-0.0,157848.515625,-0.0,62418520.0,0.0,0.0,0.0,0.0,-0.0,20000.0,-0.0,30380000.0,0.0,0.0,0.0,0.0,-0.0,1.2867717958872649e-14,-0.0,0.0086027747020125389
2019-03-31,6863.0390625,6863.0390625,4770.4931640625,4770.4931640625,8.1914587020874023,19628.05078125,7099.9970703125,1000.0,100000.0,0.0,155000000.0,0.0,8.1914587020874023,-0.0,160782.359375,-0.0,67402776.0,0.0,0.0,0.0,0.0,-0.0,19628.05078125,-0.0,30988470.0,0.0,0.0,0.0,0.0,-0.0,2.0732757093355758e-06,-0.0,0.0086670462042093277
2019-04-30,6745.4287109375,6745.4287109375,4708.13232421875,4708.13232421875,8.4191799163818359,18844.7265625,6981.12060546875,1000.0,100000.0,0.0,158000000.0,0.0,8.4191799163818359,-0.0,158657.140625,-0.0,72162488.0,0.0,0.0,0.0,0.0,-0.0,18844.7265625,-0.0,31553812.0,0.0,0.0,0.0,0.0,-0.0,6.3479269556410145e-06,-0.0,0.0088574839755892754
